"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 11:24:01 GMT 2024","Thu Feb 29 11:24:02 GMT 2024","889","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Thu Feb 29 11:21:58 GMT 2024","Thu Feb 29 11:21:58 GMT 2024","166","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Thu Feb 29 11:21:26 GMT 2024","Thu Feb 29 11:21:26 GMT 2024","252","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Thu Feb 29 11:21:49 GMT 2024","Thu Feb 29 11:21:49 GMT 2024","166","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Thu Feb 29 11:21:38 GMT 2024","Thu Feb 29 11:21:39 GMT 2024","642","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Thu Feb 29 11:24:08 GMT 2024","Thu Feb 29 11:24:08 GMT 2024","192","","Window","","","","cy.document() - get the document object",""
"passed","Thu Feb 29 11:22:37 GMT 2024","Thu Feb 29 11:22:37 GMT 2024","155","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Thu Feb 29 11:22:54 GMT 2024","Thu Feb 29 11:22:55 GMT 2024","566","","Network Requests","","","","cy.request() with query parameters",""
"passed","Thu Feb 29 11:22:29 GMT 2024","Thu Feb 29 11:22:30 GMT 2024","160","","Location","","","","cy.location() - get window.location",""
"passed","Thu Feb 29 11:23:15 GMT 2024","Thu Feb 29 11:23:15 GMT 2024","178","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Thu Feb 29 11:22:57 GMT 2024","Thu Feb 29 11:22:59 GMT 2024","1989","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Thu Feb 29 11:22:08 GMT 2024","Thu Feb 29 11:22:08 GMT 2024","185","","Cookies","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Thu Feb 29 11:21:26 GMT 2024","Thu Feb 29 11:21:27 GMT 2024","454","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Thu Feb 29 11:22:56 GMT 2024","Thu Feb 29 11:22:57 GMT 2024","918","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Thu Feb 29 11:23:30 GMT 2024","Thu Feb 29 11:23:30 GMT 2024","198","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Thu Feb 29 11:21:22 GMT 2024","Thu Feb 29 11:21:23 GMT 2024","1166","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Thu Feb 29 11:22:07 GMT 2024","Thu Feb 29 11:22:07 GMT 2024","198","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Thu Feb 29 11:23:15 GMT 2024","Thu Feb 29 11:23:15 GMT 2024","266","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Thu Feb 29 11:21:39 GMT 2024","Thu Feb 29 11:21:40 GMT 2024","1675","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Thu Feb 29 11:22:15 GMT 2024","Thu Feb 29 11:22:15 GMT 2024","144","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Thu Feb 29 11:21:59 GMT 2024","Thu Feb 29 11:21:59 GMT 2024","177","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Thu Feb 29 11:22:53 GMT 2024","Thu Feb 29 11:22:54 GMT 2024","1187","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Thu Feb 29 11:21:22 GMT 2024","Thu Feb 29 11:21:22 GMT 2024","420","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Thu Feb 29 11:21:21 GMT 2024","Thu Feb 29 11:21:22 GMT 2024","321","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Thu Feb 29 11:13:50 GMT 2024","Thu Feb 29 11:13:50 GMT 2024","272","","example to-do app","","","","can check off an item as completed",""
"passed","Thu Feb 29 11:21:25 GMT 2024","Thu Feb 29 11:21:26 GMT 2024","1278","","Actions","","","",".select() - select an option in a <select> element",""
